owner_id,industry,region
1,Electronics,Europe
2,Electronics,North America
3,Electronics,Europe
4,Electronics,Asia
5,Furniture,South America
6,Textiles,North America
7,Electronics,Asia
8,Food & Beverage,Europe
9,Textiles,North America
10,Cosmetics,North America
11,Textiles,South America
12,Furniture,South America
13,Textiles,Europe
14,Food & Beverage,Asia
15,Cosmetics,South America
16,Furniture,Europe
17,Furniture,South America
18,Electronics,Asia
19,Electronics,Africa
20,Furniture,Africa
21,Food & Beverage,South America
22,Furniture,Asia
23,Food & Beverage,Africa
24,Food & Beverage,North America
25,Electronics,Europe
26,Textiles,South America
27,Textiles,Asia
28,Furniture,Africa
29,Furniture,North America
30,Textiles,Africa
31,Electronics,Asia
32,Electronics,Africa
33,Food & Beverage,North America
34,Food & Beverage,North America
35,Food & Beverage,North America
36,Cosmetics,North America
37,Cosmetics,North America
38,Furniture,Europe
39,Furniture,North America
40,Electronics,South America
41,Textiles,Africa
42,Cosmetics,North America
43,Electronics,Asia
44,Food & Beverage,Europe
45,Electronics,Asia
46,Electronics,Europe
47,Electronics,North America
48,Cosmetics,South America
49,Textiles,North America
50,Cosmetics,North America
51,Textiles,Europe
52,Cosmetics,North America
53,Food & Beverage,Europe
54,Electronics,South America
55,Cosmetics,South America
56,Cosmetics,South America
57,Food & Beverage,Asia
58,Cosmetics,North America
59,Electronics,South America
60,Cosmetics,Asia
61,Cosmetics,Africa
62,Cosmetics,North America
63,Furniture,Asia
64,Food & Beverage,Asia
65,Furniture,North America
66,Furniture,Africa
67,Textiles,Asia
68,Food & Beverage,South America
69,Electronics,Europe
70,Electronics,Europe
71,Cosmetics,South America
72,Textiles,Africa
73,Cosmetics,South America
74,Food & Beverage,North America
75,Cosmetics,South America
76,Cosmetics,South America
77,Food & Beverage,Africa
78,Food & Beverage,Europe
79,Furniture,Africa
80,Food & Beverage,Africa
81,Cosmetics,Africa
82,Electronics,South America
83,Furniture,Africa
84,Furniture,South America
85,Cosmetics,North America
86,Food & Beverage,South America
87,Electronics,North America
88,Furniture,South America
89,Electronics,Africa
90,Textiles,Europe
91,Furniture,Africa
92,Cosmetics,North America
93,Electronics,North America
94,Textiles,South America
95,Electronics,North America
96,Food & Beverage,North America
97,Textiles,Asia
98,Cosmetics,Asia
99,Textiles,Africa
100,Textiles,South America
